hours_of_studying,grade
873.5,292.1666667
874,292.3333333
874.5,292.5
875,292.6666667
875.5,292.8333333
876,293
876.5,293.1666667
877,293.3333333
877.5,293.5
878,293.6666667
878.5,293.8333333
879,294
879.5,294.1666667
880,294.3333333
880.5,294.5
881,294.6666667
881.5,294.8333333
882,295
882.5,295.1666667
883,295.3333333
883.5,295.5
884,295.6666667
884.5,295.8333333
885,296
885.5,296.1666667
886,296.3333333
886.5,296.5
887,296.6666667
887.5,296.8333333
888,297
888.5,297.1666667
889,297.3333333
889.5,297.5
890,297.6666667
890.5,297.8333333
891,298
891.5,298.1666667
892,298.3333333
892.5,298.5
893,298.6666667
893.5,298.8333333
894,299
894.5,299.1666667
895,299.3333333
895.5,299.5
896,299.6666667
896.5,299.8333333
897,300
897.5,300.1666667
898,300.3333333
898.5,300.5
899,300.6666667
899.5,300.8333333
900,301
900.5,301.1666667
901,301.3333333
901.5,301.5
902,301.6666667
902.5,301.8333333
903,302
903.5,302.1666667
904,302.3333333
904.5,302.5
905,302.6666667
905.5,302.8333333
906,303
906.5,303.1666667
907,303.3333333
907.5,303.5
908,303.6666667
908.5,303.8333333
909,304
909.5,304.1666667
910,304.3333333
910.5,304.5
911,304.6666667
911.5,304.8333333
912,305
912.5,305.1666667
913,305.3333333
913.5,305.5
914,305.6666667
914.5,305.8333333
915,306
915.5,306.1666667
916,306.3333333
916.5,306.5
917,306.6666667
917.5,306.8333333
918,307
918.5,307.1666667
919,307.3333333
919.5,307.5
920,307.6666667
920.5,307.8333333
921,308
921.5,308.1666667
922,308.3333333
922.5,308.5
923,308.6666667
923.5,308.8333333
924,309
924.5,309.1666667
925,309.3333333
925.5,309.5
926,309.6666667
926.5,309.8333333
927,310
927.5,310.1666667
928,310.3333333
928.5,310.5
929,310.6666667
929.5,310.8333333
930,311
930.5,311.1666667
931,311.3333333
931.5,311.5
932,311.6666667
932.5,311.8333333
933,312
933.5,312.1666667
934,312.3333333
934.5,312.5
935,312.6666667
935.5,312.8333333
936,313
936.5,313.1666667
937,313.3333333
937.5,313.5
938,313.6666667
938.5,313.8333333
939,314
939.5,314.1666667
940,314.3333333
940.5,314.5
941,314.6666667
941.5,314.8333333
942,315
942.5,315.1666667
943,315.3333333
943.5,315.5
944,315.6666667
944.5,315.8333333
945,316
945.5,316.1666667
946,316.3333333
946.5,316.5
947,316.6666667
947.5,316.8333333
948,317
948.5,317.1666667
949,317.3333333
949.5,317.5
950,317.6666667
950.5,317.8333333
951,318
951.5,318.1666667
952,318.3333333
952.5,318.5
953,318.6666667
953.5,318.8333333
954,319
954.5,319.1666667
955,319.3333333
955.5,319.5
956,319.6666667
956.5,319.8333333
957,320
957.5,320.1666667
958,320.3333333
958.5,320.5
959,320.6666667
959.5,320.8333333
960,321
960.5,321.1666667
961,321.3333333
961.5,321.5
962,321.6666667
962.5,321.8333333
963,322
963.5,322.1666667
964,322.3333333
964.5,322.5
965,322.6666667
965.5,322.8333333
966,323
966.5,323.1666667
967,323.3333333
967.5,323.5
968,323.6666667
968.5,323.8333333
969,324
969.5,324.1666667
970,324.3333333
970.5,324.5
971,324.6666667
971.5,324.8333333
972,325
972.5,325.1666667
973,325.3333333
973.5,325.5
974,325.6666667
974.5,325.8333333
975,326
975.5,326.1666667
976,326.3333333
976.5,326.5
977,326.6666667
977.5,326.8333333
978,327
978.5,327.1666667
979,327.3333333
979.5,327.5
980,327.6666667
980.5,327.8333333
981,328
981.5,328.1666667
982,328.3333333
982.5,328.5
983,328.6666667
983.5,328.8333333
984,329
984.5,329.1666667
985,329.3333333
985.5,329.5
986,329.6666667
986.5,329.8333333
987,330
987.5,330.1666667
988,330.3333333
988.5,330.5
989,330.6666667
989.5,330.8333333
990,331
990.5,331.1666667
991,331.3333333
991.5,331.5
992,331.6666667
992.5,331.8333333
993,332
993.5,332.1666667
994,332.3333333
994.5,332.5
995,332.6666667
995.5,332.8333333
996,333
996.5,333.1666667
997,333.3333333
997.5,333.5
998,333.6666667
998.5,333.8333333
999,334
999.5,334.1666667
1000,334.3333333
